scenario,layout,run,n,f,commits,budget_kib,locality,tree_bytes_avg,transaction_bytes_avg,total_bytes_avg,commit_ms_avg,commit_ms_p50,commit_ms_p95,flushes,open_read_ops,open_ms,resolve_read_ops_avg,resolve_ms_avg,resolve_ms_p50,resolve_ms_p95,materialize_read_ops,materialize_ms,cache_policy
AB-TRICKLE,flat,3,50000,10,500,64,scattered,4477891.248,0.000,4477891.248,7.167,7.066,7.965,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,3,50000,10,500,64,scattered,72222.348,0.000,72222.348,0.809,0.468,6.317,28,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-OPEN,flat,1,100000,1,100,64,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,30.132,0.000,0.000,0.000,0.000,3,30.132,disabled
AB-RESOLVE,flat,1,100000,1,100,64,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.001,0,0.000,disabled
AB-OPEN,betree,1,100000,1,100,64,append,0.000,0.000,0.000,0.000,0.000,0.000,0,2,0.989,0.000,0.000,0.000,0.000,16,35.490,disabled
AB-RESOLVE,betree,1,100000,1,100,64,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,1.000,1.568,1.513,1.864,0,0.000,disabled
AB-OPEN,flat,2,100000,1,100,64,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,30.852,0.000,0.000,0.000,0.000,3,30.852,disabled
AB-RESOLVE,flat,2,100000,1,100,64,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.001,0,0.000,disabled
AB-OPEN,betree,2,100000,1,100,64,append,0.000,0.000,0.000,0.000,0.000,0.000,0,2,0.973,0.000,0.000,0.000,0.000,16,32.536,disabled
AB-RESOLVE,betree,2,100000,1,100,64,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,1.000,1.634,1.579,1.916,0,0.000,disabled
AB-OPEN,flat,3,100000,1,100,64,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,26.403,0.000,0.000,0.000,0.000,3,26.403,disabled
AB-RESOLVE,flat,3,100000,1,100,64,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.001,0,0.000,disabled
AB-OPEN,betree,3,100000,1,100,64,append,0.000,0.000,0.000,0.000,0.000,0.000,0,2,0.943,0.000,0.000,0.000,0.000,16,29.241,disabled
AB-RESOLVE,betree,3,100000,1,100,64,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,1.000,1.432,1.428,1.495,0,0.000,disabled
